Pulse,Time
2767, 17:43:24
1018, 17:43:40
1475, 17:43:55
1769, 17:44:18
1691, 17:44:34
1713, 17:44:50
1381, 17:45:05
2912, 17:45:21
2367, 17:45:36
1686, 17:45:52
1392, 17:46:08
2029, 17:46:23
2151, 17:46:39
2070, 17:46:54
0, 17:47:10
1296, 17:47:26
2225, 17:47:41
2581, 17:47:57
2780, 17:48:12
2882, 17:48:28
4095, 17:48:44
0, 17:48:59
0, 17:49:24
0, 17:49:40
4095, 17:49:55
4095, 17:50:11
3221, 17:50:27
3367, 17:50:42
3753, 17:50:58
3917, 17:51:13
4062, 17:51:29
3263, 17:51:44
3730, 17:52:00
3412, 17:52:16
3343, 17:52:31
3506, 17:52:47
3635, 17:53:02
3601, 17:53:18
3887, 17:53:34
3733, 17:53:49
4095, 17:54:05
3847, 17:54:32
3983, 17:54:48
4095, 17:55:03
3923, 17:55:19
4058, 17:55:35
2819, 17:55:50
2983, 17:56:05
3113, 17:56:21
3227, 17:56:37
3265, 17:56:53
4069, 17:57:25
3967, 17:57:41
3855, 17:57:57
4095, 17:58:12
4095, 17:58:28
4095, 17:58:43
4095, 17:58:59
2727, 17:59:15
2925, 17:59:30
2850, 17:59:46
2790, 18:00:01
2730, 18:00:17
2687, 18:00:33
4095, 18:00:48
3287, 18:01:04
3310, 18:01:20
1658, 18:01:35
4095, 18:02:07
4095, 18:02:22
4095, 18:02:38
4095, 18:02:53
4095, 18:03:09
4095, 18:03:24
4095, 18:03:40
4095, 18:03:55
4095, 18:04:11
4095, 18:04:27
2769, 18:04:43
2663, 18:04:58
2775, 18:05:14
2289, 18:05:30
2941, 18:05:45
4095, 18:06:01
2032, 18:06:16
1172, 18:06:32
2817, 18:06:47
2927, 18:07:03
2928, 18:07:19
2838, 18:07:34
2742, 18:07:50
2783, 18:08:05
2554, 18:08:21
2940, 18:08:37
2778, 18:09:10
2364, 18:09:26
4095, 18:09:42
4095, 18:10:18
0, 18:10:33
4066, 18:11:11
3127, 18:11:27
2441, 18:11:42
2375, 18:11:58
2422, 18:12:13
2449, 18:12:29
2353, 18:12:45
2287, 18:13:00
2281, 18:13:16
2242, 18:13:32
2144, 18:13:47
2137, 18:14:03
2108, 18:14:19
1790, 18:14:34
1931, 18:14:50
1462, 18:15:05
1751, 18:15:21
1818, 18:15:37
1595, 18:15:52
1765, 18:16:08
1610, 18:16:23
1237, 18:16:59
1423, 18:17:15
4095, 18:17:30
2949, 18:17:46
2634, 18:18:02
3133, 18:18:16
3660, 18:18:32
0, 18:18:48
2419, 18:19:31
2305, 18:19:47
2810, 18:20:33
2869, 18:20:49
2923, 18:21:05
2834, 18:21:20
2825, 18:21:36
2768, 18:21:51
2761, 18:22:07
2762, 18:22:23
2752, 18:22:38
2775, 18:22:54
2799, 18:23:09
2790, 18:23:55
2367, 18:24:11
2631, 18:24:27
2833, 18:24:42
2928, 18:24:58
2803, 18:25:44
2390, 18:25:59
2415, 18:26:15
4095, 18:26:31
0, 18:26:46
0, 18:27:13
2335, 18:28:03
2368, 18:28:18
2705, 18:28:34
2879, 18:28:50
